模式	频数
5,9,3,10,0,8	23
11,5,4,0,12	69
11,1,5,9,7,4,0	22
9,7,6,3,0,2	33
11,1,9,7,4,8	36
5,9,3,10,0,2	29
11,9,7,4,10,8	37
5,9,3,0,2,12	43
9,4,6,8,2	55
11,1,7,3,10,0,8	17
9,4,6,3,2,12	29
1,4,6,10	141
11,1,4,3,10,2,12	21
1,4,6,12	119
11,1,7,3,10,0,2	18
11,1,9,7,3,2	37
9,7,6,3,0,8	33
5,9,4,3,8	57
11,1,9,7,3,0	37
7,4,6,0,2,12	36
5,7,4,0,8,2,12	21
11,1,5,9,7,3,0	23
5,8,2,12	126
5,9,4,3,2	69
5,9,4,3,0	66
11,1,9,7,3,8	34
11,9,7,4,10,2	30
11,1,7,3,0,2,12	21
11,9,7,4,10,0	37
11,1,5,10,0,12	40
11,7,0,8,2,12	33
1,4,6,10,0,2,12	18
7,4,6,10,0,8	27
11,1,7,3,10,2	31
7,4,6,10,0,2	29
11,1,7,3,10,8	32
11,5,7,4,3,8,2	20
11,6,8,2	133
5,9,4,6,8	59
11,5,4,2,12	75
5,9,6,3,10,12	19
5,9,4,6,2	60
11,1,5,9,7,6,3	16
11,1,5,9,7,6,2	18
5,9,4,6,0	60
11,1,5,9,7,6,0	20
11,7,3,10,8,2	27
7,4,0,2,12	64
5,9,4,6,3	54
11,1,7,4,3,2,12	18
1,10,0,8,12	65
1,5,9,3,0,2,12	28
11,5,4,3,10,8,2	20
7,4,10,0,8	57
5,9,7,4,0,12	32
1,4,8,12	118
5,6,3,10,8,12	27
7,4,10,0,2	57
1,5,7,4,0,8,2	21
11,1,5,9,7,4,8	19
11,1,5,9,7,4,6	19
11,6,0,8,2	75
4,6,8,2,12	58
11,1,5,9,7,4,3	18
1,7,6,0,2	67
11,5,4,3,12	62
1,7,6,0,8	57
5,9,6,0,8,2,12	16
11,5,4,3,10	76
1,5,7,6,0,12	29
11,1,7,3,10,0	36
1,7,4,10,0,2,12	16
11,5,4,6,3,0,8,2	17
9,7,10,0,8,12	32
5,4,6,3,8	70
1,9,6,3,8,2,12	22
1,5,3,10,8,12	28
11,1,4,10,8	73
11,1,4,10,2	71
4,6,10,0,8,2	37
5,4,6,3,0	72
5,4,6,3,2	67
11,5,4,6,3,10,12	16
1,9,6,3,8,12	35
11,1,4,10,0	77
7,4,3,0,8,12	19
11,4,2,12	127
11,5,4,3,0,2,12	24
11,1,0,8,12	68
9,7,4,6,0,8	38
1,5,7,2,12	66
11,7,4,10,12	74
1,5,7,4,8,2,12	19
11,4,3,10,8,12	35
9,7,4,6,0,2	37
1,9,4,0,2	74
7,4,3,10,8,2	19
1,9,4,0,8	71
11,4,3,12	127
11,7,4,3,8,12	30
11,4,3,10	142
9,10,12	232
1,6,10,0,12	66
5,9,7,3,8,12	27
1,5,7,3,10	60
11,1,9,4,8,2,12	17
11,5,7,8,2,12	35
1,7,6,0,8,2	32
1,4,3,8,2,12	39
1,5,7,3,12	56
11,9,7,10,0,8	39
11,9,4,3,10,8	34
11,7,10,8,12	60
1,6,3,8,2	74
1,6,0,8	120
11,9,7,10,0,2	35
1,6,0,2	138
11,5,4,3,0,8,2,12	16
11,1,9,7,0,8,12	24
11,4,0,12	124
11,9,8,2,12	54
11,1,9,7,4,10,0	17
11,5,4,6,12	63
4,6,3,10,8,2,12	18
11,1,9,7,4,10,8	17
11,5,4,6,10	65
5,6,10,0,2,12	35
11,9,4,3,10,0	33
11,9,4,3,10,2	30
1,5,7,4,10	66
11,1,5,9,6,0,12	17
1,5,7,4,12	56
7,4,0,8,2,12	33
5,9,3,0,12	63
11,7,3,0,8,12	27
11,9,7,0,2,12	40
1,9,10,0,8,12	32
11,1,10,8,2	59
1,6,10,2,12	62
1,4,6,0,8,12	35
9,3,10,8,2,12	23
11,7,6,3,10,12	29
11,7,6,3,0,8,2	21
1,9,3,10,0,2,12	18
9,7,4,6,3,2	33
9,7,4,6,3,8	34
11,7,3,0,2,12	31
11,1,5,3,0,2	47
11,1,5,3,0,8	40
11,5,4,8,12	64
11,1,7,0,8,2,12	20
1,9,6,10,0	62
1,9,6,10,2	64
4,6,3,8,2,12	35
1,9,6,10,8	72
11,5,9,7,6,2	33
5,9,7,3,10,0,12	16
1,7,4,3,10,12	22
11,5,9,7,6,3	28
11,5,9,7,6,8	33
1,5,9,7,6,8,2	21
1,9,7,6,8,12	31
1,4,6,10,12	66
11,5,9,7,6,0	32
7,6,0,12	117
11,1,9,0,12	75
9,7,10,0,2,12	25
7,0,12	233
6,3,0,12	118
7,6,3,12	115
7,6,3,10	116
11,5,4,0,8,2	40
1,9,6,3,2,12	43
1,4,6,10,8,2	34
9,7,4,6,3,8,2	17
5,9,6,3,0,2,12	25
5,9,6,0,2,12	35
5,4,6,0,2	74
1,6,3,2	144
1,5,7,0,12	64
11,1,7,3,0,8,12	17
5,6,10,0,8,12	32
1,6,3,0	134
5,4,6,0,8	64
11,7,3,10,0,8	30
7,6,2,12	128
1,7,6,8,2	64
11,5,4,3,10,0,2	23
11,7,3,10,0,2	31
5,9,7,6,3,2,12	17
1,6,3,8	140
1,7,4,6,3,0,2	16
1,7,4,6,3,0,8	18
1,5,9,6,3,8,2	22
11,5,9,7,8,2	36
11,5,7,4,3,0,8	18
11,5,4,3,10,0,8	20
9,7,4,6,3,0	32
5,9,6,10,0,2	25
11,5,7,4,3,0,2	24
5,9,6,10,0,8	25
5,3,10,2,12	59
7,2,12	231
11,1,7,0,8,2	35
1,10,8,2,12	57
6,3,2,12	140
11,1,9,2,12	67
11,4,10,0,2,12	33
5,9,7,6,3,0,12	16
1,9,7,6,3,10	18
1,9,7,6,3,12	26
1,9,6,3,0,12	36
4,3,10,0,2,12	31
1,9,4,3,0,8,2,12	16
1,5,7,4,3,10,0	17
7,4,3,10,12	46
7,3,10	222
11,9,6,10,0,8,12	16
7,3,12	228
7,4,3,10,0,2	24
1,9,4,8,2	63
1,5,7,4,3,10,2	16
11,1,9,3,10	61
5,9,3,10,0,2,12	17
11,1,5,7,10,0,2	22
11,1,9,3,12	67
11,1,9,7,10,12	34
11,5,7,3,10,8	31
11,4,3,10,0,12	34
9,7,6,3,10	51
1,4,6,0,2,12	35
9,7,6,3,12	55
1,6,10,8,12	59
11,5,6,0,8	65
9,6,3,0,12	57
11,1,5,7,10,0,8	20
11,5,7,3,10,0	35
7,4,3,10,0,8	18
11,7,4,3,0,12	30
5,3,10,0,8,2,12	19
1,5,3,10,0,12	38
11,5,6,0,2	75
11,5,7,3,10,2	30
7,4,10	246
7,4,12	231
11,5,9,7,3,8	36
11,1,5,7,0,2,12	25
1,6,8,2	124
11,5,9,7,3,2	37
11,1,9,4,10	69
7,4,6,3,10,12	19
11,5,9,7,3,0	37
11,1,9,7,0,8,2,12	16
11,1,9,4,12	64
4,6,10,0,8,2,12	19
5,9,7,10,8	57
9,7,6,2,12	68
5,9,7,10,0	53
5,3,10,0,12	69
5,10,0,2,12	67
4,6,0,8,12	58
5,9,7,10,2	52
7,4,3,0,2,12	29
11,5,6,3,0	71
1,9,6,10,0,8,2	18
1,5,9,3,8,12	31
11,5,6,3,2	74
11,5,9,7,4,8	34
11,1,7,6,3,0,8	16
11,5,9,7,4,2	33
9,6,10,12	103
11,5,9,7,4,3	34
11,5,9,7,4,0	39
5,7,4,6,3,0,8	17
5,7,4,6,3,0,2	19
11,5,9,7,4,6	29
5,9,3,8,12	47
11,4,3,10,2,12	34
1,5,10,0,2,12	38
11,7,4,3,2,12	28
1,5,9,0,2	72
11,1,5,4,3,10,8	20
1,5,9,7,10,8	29
1,9,7,6,2,12	34
11,1,5,4,3,10,2	26
1,5,3,10,2,12	33
1,5,9,7,10,2	30
1,5,9,0,8	57
11,1,5,4,3,10,0	25
1,5,9,7,10,0	25
7,6,10	241
7,6,12	238
1,3,10,0,8,2,12	16
4,6,10,0,8	68
5,10,0,8,12	61
1,9,4,3,2	78
0,8,2	239
11,1,9,6,12	62
1,9,4,3,0	71
1,9,7,6,3,0,12	17
9,3,10,8,12	44
11,1,9,6,10	68
11,1,3,10,0,8,2	20
11,1,4,6,3,0,12	21
1,9,4,3,8	70
4,6,0,2,12	67
11,4,6,12	129
11,5,6,3,8	71
9,7,6,0,12	63
5,9,6,0,8,12	25
11,4,3,0,8	66
1,5,7,6,10	66
1,5,7,6,12	54
11,4,3,0,2	75
1,5,0,8,2	73
5,9,3,2,12	71
1,5,9,3,2,12	41
11,4,8,12	122
11,1,9,7,12	69
5,9,3,8,2,12	30
5,0,2,12	139
7,6,8,12	107
5,10,0,8	116
5,10,0,2	123
0,12	455
11,1,9,7,10	68
1,9,7,6,0,12	30
7,8,12	216
6,3,8,12	118
9,7,4,6,3,0,2	18
1,4,6,10,0,8	42
1,5,10,0,8,12	36
11,7,6,10,8	63
1,4,6,10,8,2,12	18
1,9,3,10,0,8,12	16
11,1,9,8,12	61
11,7,6,10,2	65
9,7,4,6,3,0,8	18
1,10	492
9,7,6,10,8,12	22
11,7,6,10,0	63
1,12	467
11,1,4,6,3,2,12	18
11,4,10,0,8,12	32
1,5,9,7,6,3,8	19
1,5,7,8,12	58
1,4,6,10,0,2	36
11,1,5,9,6,3,12	17
5,9,6,10,8,2	24
4,3,10,0,8,12	25
9,4,0,12	106
1,9,4,6,2	65
1,7,4,10,8,2,12	16
1,5,4,6,8,2	40
1,5,9,6,3,0,8	19
11,5,9,7,0,8	34
1,9,4,6,0	67
1,7,4,6,3,8,2	19
5,4,6,8,2	64
11,4,6,10	143
1,9,4,6,3	71
1,5,9,6,3,0,2	23
11,5,9,7,0,2	34
1,9,4,6,8	70
2,12	456
1,5,4,6,0,8,2	24
11,9,7,4,0,8,2	23
4,6,10,0,2	69
9,4,3,10	112
11,1,5,7,4,12	34
11,1,6,3,0,8,2	20
9,4,3,12	110
11,5,9,3,2,12	41
11,7,8,2	127
11,1,5,2,12	75
11,1,5,7,0,8,12	22
3,10	465
5,9,7,6,8	57
3,12	460
5,9,7,6,2	63
5,9,7,6,3	53
5,9,7,6,0	57
11,1,5,7,4,10,8	16
11,9,4,8,12	55
11,1,6,10,2,12	29
11,1,5,7,4,10,2	19
11,1,5,7,4,10,0	18
9,7,10,0,8	65
11,1,5,7,3,10	38
1,9,7,3,0,8,12	18
11,1,5,7,10,8,2	16
11,1,9,4,10,0,8	22
11,1,5,7,3,12	30
9,4,2,12	106
11,1,6,10,0,8,2	21
11,1,6,3,8,2	37
11,1,5,3,12	59
7,4,3,8,12	48
9,7,10,0,2	52
1,7,10,12	116
4,10	492
4,12	453
11,1,5,4,6,3,10,0	16
11,1,9,4,10,0,2	20
1,10,12	238
11,1,5,3,10	71
11,4,6,0,2,12	36
11,1,9,4,0,2,12	20
11,9,7,6,0,12	37
4,6,10,0,8,12	34
11,1,5,7,4,10	35
7,3,10,0,8	49
11,7,6,3	128
11,1,5,7,2,12	38
11,7,6,2	136
11,7,6,0	123
1,5,6,10,0,8	38
11,5,9,0,12	71
1,5,6,0,2,12	41
11,5,4,6,8,2	36
4,6,0,8,2,12	30
11,1,5,4,12	66
5,10	489
5,12	476
11,1,9,4,0,2	41
11,7,6,8	126
7,3,10,0,2	46
1,5,6,10,0,2	39
11,1,7,6,3,8,2	19
11,1,5,4,10	76
5,9,7,8,2	64
11,1,9,4,0,8	41
11,1,6,10,0,12	35
9,0,2	250
11,7,4,3,10,0,2	17
7,6,3,10,12	45
11,10,8	250
11,4,6,10,0,2	36
9,0,8	238
5,0,8,12	111
1,5,7,4,6,10,2	19
9,4,6,0,2,12	28
1,5,7,4,6,10,0	17
11,9,7,4,6,8,12	17
11,4,6,10,0,8	40
1,5,9,3,10,12	28
11,10,0	267
11,10,2	253
6,10	482
6,12	467
7,3,0,2,12	55
9,4,6,10,0,2	33
5,4,0,8,2	74
11,7,4,3,0,2,12	17
7,10,0,8,12	58
5,4,10,2	119
3,10,8,2,12	46
5,4,10,0	135
11,1,5,4,8,2,12	25
4,6,3,0,8,12	29
9,4,6,10,0,8	38
5,4,10,8	125
11,7,4,3	138
11,9,6,0,2	77
11,7,4,2	126
11,7,4,0	128
11,5,9,7,10,8,12	16
11,1,9,4,6,0	38
11,1,9,4,6,3	39
7,10	485
7,12	476
11,1,9,4,6,2	30
11,7,4,8	128
11,7,4,6	131
11,1,9,4,6,8	38
11,5,9,2,12	70
7,4,3,2,12	56
5,7,3,10,8	48
11,1,5,6,12	60
5,9,6,10,0,12	23
11,1,4,6,3,8,12	20
11,1,5,6,10	69
11,5,9,7,4,10,12	17
5,7,3,10,2	47
5,7,3,10,0	63
5,9,6,3,8,2,12	18
11,5,4,6,3,8	41
1,5,4,6,10,0,12	18
8,12	418
11,5,9,3,12	64
11,5,4,6,3,0	40
9,4,6,10	122
11,4,6,0,12	66
4,3,10,0,12	55
9,4,6,12	107
11,5,4,6,3,2	40
11,7,4,10,0,2,12	17
11,1,5,7,10	71
7,10,0,2,12	52
11,5,9,3,10	60
1,5,0,12	124
9,3,0	242
11,1,5,7,12	64
9,3,2	254
5,10,8,2	113
1,5,7,3,0,12	36
11,9,6,0,8	67
4,6,3,0,2,12	34
9,3,8	231
11,1,5,7,8,12	30
1,5,4,6,3,8,2	23
11,1,9,10,0	74
11,1,9,10,2	60
11,1,5,0,8,2	41
9,10	486
9,12	460
5,9,7,4,2	65
5,9,7,4,3	66
5,9,7,4,8	61
11,5,9,4,12	58
5,9,7,4,6	59
5,9,6,3,8,2	32
7,4,3,0,12	50
11,5,9,4,10	60
5,9,6,10,2,12	22
5,9,7,4,0	68
1,5,3,10	120
9,4,0	243
11,1,3,0,8,2,12	19
1,5,3,12	118
9,4,3	249
11,1,5,8,12	59
9,4,2	245
4,6,3,10,0,2	34
9,4,6	248
1,5,4,6,10,2	40
9,4,8	237
4,6,3,10,0,8	32
9,4,6,0,8,12	31
1,5,4,6,10,0	39
5,7,4,8,2,12	31
11,7,3,2	123
11,7,3,0	115
11,9,6,3,2	76
11,9,6,3,0	65
1,5,4,6,10,8	43
11,1,9,4,3,0	42
11,9,3,10,8,12	26
11,7,3,8	125
5,9,7,3,2	66
11,4,6,2,12	67
9,4,8,12	103
5,9,7,3,8	64
11,1,9,4,3,2	43
11,1,5,9,12	63
11,1,9,4,3,8	43
1,5,2,12	135
1,9,7,0,8,2,12	23
4,3,10,2,12	55
11,1,5,9,10	63
5,9,7,3,0	67
1,5,7,3,2,12	33
11,5,9,3,0,12	39
11,1,9,10,8	62
11,1,5,7,6,10	35
11,1,5,7,6,12	32
1,9,10,0,8,2,12	18
1,9,3,8,2,12	38
11,4,10,8,2,12	33
11,4,6,3,10	74
11,5,9,6,10	50
11,4,6,3,12	63
11,5,9,6,12	52
9,6,0	250
9,7,4,10,0	64
9,6,3	238
9,6,2	260
1,9,6,10,8,2	31
9,7,4,10,2	52
9,6,8	247
9,7,4,10,8	65
9,7,4,0,8,2,12	17
11,9,6,3,8	66
1,9,10,0,2,12	29
1,5,9,7,0,8,2	18
9,7,0,8,12	63
11,1,7,6,3,0	29
11,5,9,7,12	66
9,7,0	253
5,9,0,12	110
11,1,6,3,0,2	36
11,1,7,6,3,2	30
9,7,2	243
9,7,4	252
9,7,3	249
1,5,4,10	141
9,7,6	249
11,5,9,7,10	64
1,5,4,12	122
11,1,6,3,0,8	40
11,1,7,6,3,8	38
9,7,8	249
11,1,5,9,10,12	34
11,1,3,10,0,2,12	17
11,5,4,6,0,2	37
9,6,0,2	138
1,5,7,10	127
11,7,4,0,8,2,12	18
1,5,7,12	115
1,9,6,0,8,12	38
9,6,0,8	128
11,5,9,8,12	53
4,6,0,12	116
9,8,2	233
5,9,3,12	115
5,9,3,10	104
7,0,8,2,12	62
9,7,4,10,8,2	25
11,1,5,4,3,0,8,2	17
7,6,3,0,8,2	35
11,1,9,4,0,8,12	25
1,5,6,10	131
11,5,9,6,0,8,2	17
1,9,7,0,2	64
5,9,2,12	121
1,9,7,0,8	65
1,9,4,6,3,0,12	20
1,5,6,12	118
7,3,10,8,2	39
11,1,7,0,8	64
11,5,4,6,0,8	35
1,5,10,8,2,12	31
5,9,4,6,0,2	32
11,1,7,0,2	70
5,9,4,6,0,8	31
5,4,6,3,10,0	40
11,5,6,10,0,8,12	16
11,1,5,7,0,12	40
11,5,6,10,8,12	27
1,9,10,8	122
1,5,9,12	115
11,7,4,0,8,12	29
11,9,6,8,2	69
11,1,7,6,8,2	34
1,5,7,3,0,8,2	24
11,5,9,7,10,0,12	20
1,5,9,10	114
7,3,0,8,12	47
9,6,3,0	121
11,1,10,8	129
4,6,2,12	127
9,6,3,2	133
11,1,10,0	145
5,4,6,3,10,8	35
5,7,8,2,12	68
11,1,10,2	125
5,4,6,3,10,2	29
5,9,6,10,8,12	23
11,5,3,10,12	69
1,9,7,6,3,0,8	19
1,5,8,12	120
1,5,4,6,3,0,8	22
11,5,9,4,8,2	27
7,4,6,3,8,12	27
11,9,3,10,2,12	29
5,9,4,12	104
11,4,6,8,12	65
4,3,10,8,12	52
1,5,4,6,3,0,2	23
11,7,4,10,8,2	26
5,9,4,10	106
11,4,3,10,8,2,12	19
1,9,10,2	111
1,9,4,6,3,2,12	19
1,9,10,0	123
11,5,9,7,3,8,2	23
4,6,3,10,8,2	31
11,1,9,6,10,2	32
3,10,0	252
11,1,9,6,10,0	35
3,10,2	204
4,6,10,0,2,12	35
5,9,7,12	113
3,10,8	218
11,1,9,6,10,8	35
5,9,7,10	115
9,7,0,2,12	65
11,1,7,3,8	62
11,1,4,6,10,12	37
11,1,7,3,0	62
11,1,7,3,2	65
9,4,3,10,8	59
4,6,3,10	126
5,9,6,10	99
9,6,3,8	124
1,9,7,3,8,12	25
1,5,3,0,2	84
11,9,3,10,0,12	33
9,7,4,3,0,2,12	16
7,3,0,8,2,12	23
11,1,7,4,8	66
1,5,3,0,8	68
4,6,3,12	112
5,9,6,12	98
11,1,7,4,2	64
11,5,6,3,8,2,12	20
9,4,3,10,0	54
11,1,3,10,0,8,12	21
11,1,7,4,0	68
9,4,3,10,2	52
11,1,7,4,6	65
11,5,9,4,3,10,12	16
11,1,7,4,3	71
7,6,3,0,2	68
11,5,7,4,6,8,2	18
1,9,6,10,0,2	33
11,1,7,6,0	62
11,9,4,6,8,2	30
7,6,10,8,2,12	20
11,5,9,4,3,2	39
1,7,0,8	123
1,7,0,2	129
1,9,6,10,0,8	38
11,5,9,4,3,8	33
7,6,3,0,8	61
1,9,6,0,2,12	38
11,1,5,4,10,0,2	23
11,5,4,12	126
11,5,9,4,3,0	40
11,1,5,4,10,0,8	24
11,5,4,10	139
11,1,5,9,7,0,12	25
1,5,10,2,12	67
11,9,7,10,12	66
7,6,3,8,2,12	32
1,5,10,0,8,2	37
1,9,7,6,2	64
11,5,6,10	124
5,9,8,12	96
1,9,7,6,3	53
1,9,7,6,0	58
1,5,9,0,8,12	35
1,5,9,4,10,8	30
1,9,7,6,8	68
1,5,7,4,6,0	33
1,5,7,4,6,2	37
11,7,4,0,2,12	36
1,5,7,4,6,3	30
1,5,9,4,10,0	28
11,5,9,7,3,0,2	22
1,6,3,0,8,2,12	24
11,1,7,4,8,12	31
11,1,9,10,8,12	29
11,1,7,6,3	63
11,1,7,6,2	62
11,4,10,0,8,2	36
1,5,9,4,10,2	30
11,1,7,6,8	63
5,9,7,4,6,3,0	18
11,5,9,7,3,0,8	21
11,7,4,10,0,8	33
11,1,4,6,3,10,0,8	16
11,1,7,8,2	65
11,1,7,4,6,3,8	24
5,7,4,6,0,2,12	21
4,6,8,12	116
11,7,0,8,2	67
1,5,7,4,6,8	28
11,4,6,8,2,12	32
11,1,7,4,6,3,0	17
11,1,5,7,3,10,12	16
11,7,4,10,0,2	35
11,1,7,4,6,3,2	16
1,5,6,8,2,12	33
11,5,2,12	140
1,0,2	253
11,1,0,8,2,12	35
9,4,10,0,8,2	33
1,0,8	242
11,1,5,9,7,2,12	20
11,1,5,4,0,2,12	26
1,5,9,7,8,2,12	21
1,5,4,10,8,12	32
11,5,9,4,6,8	27
1,9,7,8,2	63
11,5,7,3,10,0,12	16
11,1,9,4,10,12	30
11,1,3,10,8,2	32
9,6,8,2	127
11,5,9,4,6,0	29
11,5,3,12	120
1,5,7,4,8,2	35
11,5,9,4,6,3	29
11,5,3,10	141
11,5,9,4,6,2	27
11,1,7,4,6,10	38
1,5,9,10,8,2	24
11,1,7,4,6,12	29
1,9,4,6,3,8,12	16
1,7,4,2	124
1,5,7,4,0,8	31
5,9,3,10,8,2	19
1,7,4,3	123
1,7,4,0	121
1,5,7,4,0,2	38
1,7,4,6	126
5,9,0,8,2,12	33
1,7,4,8	120
11,5,0,12	131
11,9,4,6,3,8	37
11,1,7,6,0,2	32
5,9,7,4,6,0,8	17
11,5,7,4,6,3,8	21
5,9,6,0,12	53
1,5,4,3,8,2	42
11,1,7,6,0,8	29
5,9,7,4,6,0,2	16
1,5,4,10,0,12	34
11,5,7,4,6,3,0	21
1,7,3,10,0	58
1,9,4,6,10,0	35
11,5,7,4,6,3,2	17
1,7,3,10,2	49
1,9,4,6,10,2	31
11,5,6,10,0,12	33
1,7,3,0	123
1,5,4,10,2,12	39
1,7,3,2	129
11,5,9,4,0,8	32
1,7,3,10,8	49
1,9,4,6,10,8	41
5,3,10,12	116
11,5,9,4,0,2	34
1,7,3,8	118
1,3,0	257
1,3,2	258
1,9,7,6,3,8,2	17
1,9,7,3,2,12	31
1,3,8	245
5,9,7,4,6,12	25
1,4,0,8,2	73
7,10,8,2,12	50
1,9,3,0,8,2,12	26
5,9,7,4,6,10	27
11,5,6,10,2,12	26
1,7,6,3	126
1,5,7,3,8,2,12	17
1,7,6,0	119
5,9,6,3,12	53
1,7,6,2	131
8,2,12	218
5,9,6,3,10	41
1,9,7,3,0	62
1,5,7,6,10,8,2	18
1,7,6,8	124
1,4,0	252
1,4,3	265
1,9,7,3,2	62
1,4,2	256
1,9,7,3,8	57
1,4,6	260
11,5,6,3,8,2	45
4,6,3,2,12	64
1,4,8	260
1,5,7,4,3,0	35
5,9,6,2,12	62
1,5,10,0,12	68
11,4,3,0,8,2	42
1,9,7,4,0	69
1,5,3,8,2	69
11,9,4,6,3,0	33
1,5,7,4,3,2	35
1,5,0	251
4,6,3,0,12	55
11,9,4,6,3,2	38
1,5,2	260
1,9,7,4,2	59
1,5,4	260
1,9,7,4,3	58
1,5,3	249
1,5,7,4,3,8	28
1,5,6	262
1,9,7,4,8	61
1,7,4,6,8,12	27
1,9,7,4,6	67
1,5,8	244
1,5,7	251
1,5,9,4,0,8,2	22
1,5,9	246
1,9,7,3,0,12	33
1,5,3,0,8,2	44
9,4,8,2,12	49
5,9,7,4,8,12	26
11,1,7,4,0,12	39
11,4,10,0,8,2,12	19
11,9,7,4,6,3,12	16
11,1,9,3,8,2	40
1,7,8,2	125
11,9,7,4,6,3,10	16
7,6,10,2,12	50
11,1,5,9,7,8,12	21
9,4,6,10,8,2	26
1,6,0	247
11,1,5,4,10,8,2	20
1,6,3	262
11,7,0,2	128
1,6,2	261
11,9,4,6,0,2	35
9,7,10,8,2	58
3,0,8,2,12	62
1,6,8	244
1,7,4,6,3,12	25
1,7,4,6,3,10	30
7,6,3,8,2	67
11,1,9,7,3,8,2	19
11,1,9,7,10,0,12	21
1,9,10,8,2,12	32
11,5,4,6,10,12	31
11,1,5,4,0,8,12	24
11,1,4,3,8,12	39
9,7,10,12	119
1,7,0	245
6,3,0,8,2	74
1,7,2	247
1,7,4	244
1,7,3	245
1,7,6	249
9,4,3,8,2,12	30
1,7,8	248
11,1,9,10,0,12	37
7,0,8,2	126
11,9,4,6,0,8	35
11,5,7,4,6,0,8	16
11,7,0,8	121
11,5,9,6,10,8	27
11,5,7,4,6,0,2	17
1,7,4,6,2,12	35
11,5,9,6,10,2	19
11,5,9,6,10,0	24
11,4,6,3,10,8	39
11,1,3,0,2,12	37
9,4,10,0,8,2,12	16
11,1,6,3,8,2,12	17
1,9,6,3,0,8,2	23
11,1,3,10,8,2,12	16
11,4,6,3,10,0	36
9,7,4,3,10,12	19
1,8,2	250
11,4,6,3,10,2	36
1,9,7,10,8,2,12	16
11,1,6,3,10,12	30
5,7,4,10,8	63
11,1,3,10,0,8	43
1,5,6,3,10,8	37
11,1,3,10,0,2	35
5,7,4,10,0	65
5,9,4,6,10,12	21
7,6,10,0,12	54
1,5,6,3,10,0	39
1,5,6,3,10,2	33
5,7,4,10,2	55
1,5,9,0,2,12	39
1,9,0	250
1,5,4,6,10,2,12	22
1,9,2	244
5,9,7,6,8,2	34
1,9,4	258
1,9,3	250
1,9,6	260
1,5,9,10,0,8	27
1,9,8	244
5,7,0,8,12	55
1,9,7	248
1,5,9,10,0,2	30
11,5,7,6,8,2	42
11,1,7,10,0,2,12	17
11,1,5,6,8,12	28
11,1,7,3,10,2,12	16
11,9,7,4,6,0,12	20
11,4,3,10,0,2,12	19
3,10,0,8,2,12	26
11,1,5,9,7,4,12	19
11,1,3,0,8,12	38
11,5,9,12	124
11,9,10,8	120
11,5,9,10	127
11,1,6,0,12	68
1,5,4,10,12	63
5,9,7,6,0,2	29
4,6,3,8,12	58
11,9,10,0	138
11,9,10,2	126
5,9,7,6,0,8	25
11,1,5,9,7,3,12	18
5,9,6,8,12	50
1,5,4,3,0,2	46
1,7,8,2,12	61
5,7,0,2,12	70
1,5,4,3,0,8	36
1,5,4,6,10,8,12	18
11,5,9,4,0,8,12	19
5,4,3,10,8	59
11,1,7,3,10,0,12	20
5,4,3,10,0	72
5,4,3,10,2	60
1,9,7,4,8,2	28
11,5,3,0,2	83
11,5,6,3,0,8	37
11,1,5,9,7,6,12	16
11,5,7,6,3,8	40
1,5,7,6,10,0,2	21
11,1,9,4,3,0,8,2	17
11,1,7,10,0,8,12	16
11,1,6,2,12	63
11,5,7,10	133
11,9,6,10,8,12	27
11,5,7,6,3,0	33
11,5,6,3,0,2	42
11,5,7,6,3,2	36
4,6,10,8,2,12	33
5,7,10,0,2	57
1,4,6,3,10,8,12	17
1,5,10,8,12	55
11,5,6,12	120
1,5,7,6,0,2,12	19
5,4,6,0,8,2	39
9,7,6,0,8,2	38
11,1,7,4,3,10	37
11,1,5,9,0,8,2	23
11,1,7,4,3,12	31
1,5,7,10,0,2,12	20
5,7,4,3,10,2	23
11,1,9,7,3,0,2	21
5,7,4,3,10,0	32
11,5,8,12	108
5,9,6,3,0,8,2	18
11,1,6,3,12	62
9,7,4,10,0,8,12	16
5,7,10,0,8	55
11,1,6,3,10	68
5,7,4,3,10,8	26
11,1,9,7,3,0,8	20
7,4,6,10,12	52
1,5,7,6,10,8	30
5,9,7,6,3,0	27
11,5,7,12	130
5,9,6,3,0,2	39
5,9,7,6,3,2	29
5,4,10,0,8,2	33
11,5,3,0,8	69
1,7,4,6,0,12	30
5,9,6,3,0,8	27
1,5,7,6,10,0	34
5,9,7,6,3,8	28
1,5,7,6,10,2	37
11,1,7,4,2,12	34
11,1,9,10,2,12	31
7,6,10,0,2,12	27
11,4,0,8,2,12	35
11,4,3,10,8,2	35
1,9,4,6,10,0,12	16
9,4,0,8,2,12	30
5,9,3,0,8,2,12	22
1,9,6,10,0,12	29
11,9,4,6,8,12	28
9,4,3,10,8,2	30
7,4,3,10,8,12	19
1,5,0,8,2,12	41
5,9,7,6,3,8,2	18
5,4,6,3,10	65
5,4,6,3,12	57
1,9,4,0,12	65
11,1,5,9,0,8,2,12	17
1,9,6,3,8,2	41
1,5,7,4,6,10	34
1,5,7,4,6,12	27
11,7,4,3,8,2	33
5,9,6,3,2	65
1,5,9,4,10,12	28
9,7,4,6,0,8,12	17
5,9,6,3,8	55
5,9,6,3,0	61
1,9,7,4,6,10,2	17
1,6,3,8,12	67
1,9,7,4,6,10,0	17
1,5,3,10,8,2	28
5,4,6,2,12	73
9,7,3,0,8,2	37
